date,budget_starting,money_in,money_out,reason
2026-06-01,5000.0,1500.0,0.0,Monthly Salary
2026-06-02,6500.0,0.0,45.0,Groceries
2026-06-03,6455.0,0.0,120.5,Utilities Bill
2026-06-04,6334.5,250.0,0.0,Freelance Project
2026-06-05,6584.5,0.0,15.99,Coffee and Snacks
2026-09-17,6568.51,51.98,0.0,POS Checkout (1 items)
2026-09-17,6620.49,0.0,50.0,Test Operational Bill
2026-09-17,6570.49,100.0,0.0,Test Deposit
2026-09-17,6670.49,79.99,0.0,POS Checkout (1 items)
2026-09-17,6750.48,25.99,0.0,POS Checkout (1 items)
2026-09-17,6776.469999999999,25.99,0.0,POS Checkout (1 items)
2026-09-17,6802.459999999999,25.99,0.0,POS Checkout (1 items)
2026-09-17,6828.449999999999,25.99,0.0,POS Checkout (1 items)
2026-09-17,6854.439999999999,25.99,0.0,POS Checkout (1 items)
2026-09-17,6880.4299999999985,25.99,0.0,POS Checkout (1 items)
2026-09-17,6906.419999999998,25.99,0.0,POS Checkout (1 items)
2026-09-17,6932.409999999998,25.99,0.0,POS Checkout (1 items)
2026-09-17,6958.399999999998,25.99,0.0,POS Checkout (1 items)
2026-09-17,6984.389999999998,25.99,0.0,POS Checkout (1 items)
2026-09-17,7010.379999999997,25.99,0.0,POS Checkout (1 items)
2026-09-17,7036.369999999997,25.99,0.0,POS Checkout (1 items)
2026-09-17,7062.359999999997,25.99,0.0,POS Checkout (1 items)
2026-09-17,7088.349999999997,25.99,0.0,POS Checkout (1 items)
2026-09-17,7114.3399999999965,25.99,0.0,POS Checkout (1 items)
2026-09-17,7140.329999999996,25.99,0.0,POS Checkout (1 items)
2026-09-17,7166.319999999996,25.99,0.0,POS Checkout (1 items)
2026-09-17,7192.309999999996,25.99,0.0,POS Checkout (1 items)
2026-09-17,7218.299999999996,25.99,0.0,POS Checkout (1 items)
2026-09-17,7244.289999999995,25.99,0.0,POS Checkout (1 items)
2026-09-17,7270.279999999995,25.99,0.0,POS Checkout (1 items)
2026-09-17,7296.269999999995,25.99,0.0,POS Checkout (1 items)
2026-09-17,7322.259999999995,25.99,0.0,POS Checkout (1 items)
2026-09-17,7348.2499999999945,25.99,0.0,POS Checkout (1 items)
2026-09-17,7374.239999999994,25.99,0.0,POS Checkout (1 items)
2026-09-17,7400.229999999994,25.99,0.0,POS Checkout (1 items)
2026-09-17,7426.219999999994,25.99,0.0,POS Checkout (1 items)
2026-09-17,7452.209999999994,25.99,0.0,POS Checkout (1 items)
2026-09-17,7478.199999999993,25.99,0.0,POS Checkout (1 items)
2026-09-17,7504.189999999993,25.99,0.0,POS Checkout (1 items)
2026-09-17,7530.179999999993,25.99,0.0,POS Checkout (1 items)
2026-09-17,7556.169999999993,25.99,0.0,POS Checkout (1 items)
2026-09-17,7582.159999999993,25.99,0.0,POS Checkout (1 items)
2026-09-17,7608.149999999992,25.99,0.0,POS Checkout (1 items)
2026-09-17,7634.139999999992,25.99,0.0,POS Checkout (1 items)
2026-09-17,7660.129999999992,25.99,0.0,POS Checkout (1 items)
2026-09-17,7686.119999999992,25.99,0.0,POS Checkout (1 items)
2026-09-17,7712.1099999999915,25.99,0.0,POS Checkout (1 items)
2026-09-17,7738.099999999991,25.99,0.0,POS Checkout (1 items)
2026-09-17,7764.089999999991,25.99,0.0,POS Checkout (1 items)
2026-09-17,7790.079999999991,25.99,0.0,POS Checkout (1 items)
2026-09-17,7816.069999999991,25.99,0.0,POS Checkout (1 items)
2026-09-17,7842.05999999999,25.99,0.0,POS Checkout (1 items)
2026-09-17,7868.04999999999,25.99,0.0,POS Checkout (1 items)
2026-09-17,7894.03999999999,25.99,0.0,POS Checkout (1 items)
2026-09-17,7920.02999999999,25.99,0.0,POS Checkout (1 items)
2026-09-17,7946.0199999999895,25.99,0.0,POS Checkout (1 items)
2026-09-17,7972.009999999989,25.99,0.0,POS Checkout (1 items)
2026-09-17,7997.999999999989,25.99,0.0,POS Checkout (1 items)
2026-09-17,8023.989999999989,25.99,0.0,POS Checkout (1 items)
2026-09-17,8049.979999999989,25.99,0.0,POS Checkout (1 items)
2026-09-17,8075.969999999988,25.99,0.0,POS Checkout (1 items)
2026-09-17,8101.959999999988,25.99,0.0,POS Checkout (1 items)
2026-09-17,8127.949999999988,25.99,0.0,POS Checkout (1 items)
2026-09-17,8153.939999999988,25.99,0.0,POS Checkout (1 items)
2026-09-17,8179.929999999988,25.99,0.0,POS Checkout (1 items)
2026-09-17,8205.919999999987,25.99,0.0,POS Checkout (1 items)
2026-09-17,8231.909999999987,25.99,0.0,POS Checkout (1 items)
2026-09-17,8257.899999999987,25.99,0.0,POS Checkout (1 items)
2026-09-17,8283.889999999987,25.99,0.0,POS Checkout (1 items)
2026-09-17,8309.879999999986,25.99,0.0,POS Checkout (1 items)
2026-09-17,8335.869999999986,25.99,0.0,POS Checkout (1 items)
2026-09-17,8361.859999999986,25.99,0.0,POS Checkout (1 items)
2026-09-17,8387.849999999986,25.99,0.0,POS Checkout (1 items)
2026-09-17,8413.839999999986,25.99,0.0,POS Checkout (1 items)
